Site Pt,Area,Northing,Easting,Pressure,Temp,Date Time,CH4 slope,H2S slope,CO2 slope,CH4 flux,H2S flux,CO2 flux
"BasinCreek051820_
204",BC,1209553,2302354,795.5,33.1,5/18/20,-1.568,-0.004,0.005,0,0,0.001215
"BasinCreek051820_
205",BC,1209415,2302392,795.5,33.6,5/18/20,-2.502,-0.003,0.059,0,0,0.014311
"BasinCreek051820_
206",BC,1209283,2302396,795.3,34,5/18/20,13.297,0.006,3.559,3.220218,0.001453,0.861905
"BasinCreek051820_
207",BC,1209255,2302373,794.8,34.4,5/18/20,14.721,0.007,7.342,3.558202,0.001692,1.774629
"BasinCreek051820_
208",BC,1209190,2302325,794.5,34.9,5/18/20,-0.631,0.003,1.66,0,0.000724,0.400435
"BasinCreek051820_
209",BC,1209110,2302141,794.4,36.2,5/18/20,-1.773,-0.003,0.644,0,0,0.154677
"BasinCreek051820_
210",BC,1209301,2302174,791,37.4,5/18/20,7.48,0.013,11.759,1.781959,0.003097,2.801344
"BasinCreek051820_
211",BC,1209369,2302152,791.5,38.1,5/18/20,2.479,0.024,5.623,0.589616,0.005708,1.337398
"BasinCreek051820_
212",BC,1209434,2302149,797.7,38.7,5/18/20,0,0.008,2.307,0,0.001914,0.551941
"BasinCreek051820_
213",BC,1209529,2302122,792.6,39.4,5/18/20,-2.003,-0.002,0.446,0,0,0.105784
"BasinCreek051820_
214",BC,1209728,2302192,793.2,40,5/18/20,-3.429,-0.008,0.013,0,0,0.00308
"BasinCreek051820_
215",BC,1209579,2302018,793.4,40.6,5/18/20,-4.459,0.004,0.027,0,0.000946,0.006386
"BasinCreek051820_
216",BC,1209615,2301963,792.6,41,5/18/20,-1.472,0.004,0.264,0,0.000944,0.062298
"BasinCreek051820_
217",BC,1209629,2301865,792.8,41.4,5/18/20,-5.985,0.001,0.429,0,0.000236,0.101131
"BasinCreek051820_
218",BC,1209500,2301918,793,41.8,5/18/20,-3.244,0.001,1.175,0,0.000235,0.276707
"BasinCreek051820_
219",BC,1209485,2301925,790.3,41.9,5/18/20,38.106,0.002,19.743,8.9404,0.000469,4.632087
"BasinCreek051820_
220",BC,1209446,2301929,789.9,42,5/18/20,-5.823,-0.004,5.942,0,0,1.39296
"BasinCreek051820_
221",BC,1209431,2301945,789.5,42,5/18/20,-2.727,0.008,1.524,0,0.001874,0.357084
"BasinCreek051820_
222",BC,1209423,2301989,789.5,42,5/18/20,-3.076,-0.001,1.411,0,0,0.330608
"BasinCreek051820_
223",BC,1209379,2301998,789.6,42,5/18/20,-4.65,0.003,1.696,0,0.000703,0.397436
"BasinCreek051820_
224",BC,1209349,2301994,789.1,42,5/18/20,39.408,0.004,8.884,9.228907,0.000937,2.080532
"BasinCreek051820_
225",BC,1209357,2301959,788.8,42.1,5/18/20,-1.757,0.013,2.096,0,0.003042,0.490517
"BasinCreek051820_
226",BC,1209381,2301944,788.8,42.1,5/18/20,1054.802,0.012,65.592,246.8504,0.002808,15.35019
"BasinCreek051820_
227",BC,1209382,2301943,788.6,42.2,5/18/20,21328.18,2.403,140.916,4988.488,0.562042,32.9591
"BasinCreek051820_
228",BC,1209385,2301906,788.6,42.3,5/18/20,20.113,-0.102,9.093,4.702775,0,2.126104
"BasinCreek051820_
229",BC,1209367,2301908,788.3,42.4,5/18/20,-1.787,-0.012,1.272,0,0,0.297209
"BasinCreek051820_
230",BC,1209323,2301871,788.2,42.3,5/18/20,93.428,-0.007,12.294,21.83404,0,2.873096
"BasinCreek051820_
231",BC,1209404,2301756,787.6,42.3,5/18/20,200.08,0.001,15.442,46.72292,0.000234,3.606034
"BasinCreek051820_
232",BC,1209436,2301747,789.9,42.3,5/18/20,-1.53,-0.005,3.337,0,0,0.781536
"BasinCreek051820_
233",BC,1209432,2301783,790.3,42.3,5/18/20,0,0.001,13.952,0,0.000234,3.269257
"BasinCreek051820_
234",BC,1209407,2301812,789.9,42.4,5/18/20,-2.563,0.007,6.365,0,0.001639,1.49023
"BasinCreek051820_
235",BC,1209374,2301771,789.3,42.5,5/18/20,-1.459,0.002,4.018,0,0.000468,0.939718
"BasinCreek051820_
236",BC,1209410,2301714,789.3,42.6,5/18/20,-1.209,0.001,2.535,0,0.000234,0.59269
"BasinCreek051820_
237",BC,1209435,2301636,789.6,42.7,5/18/20,-1.52,0,0.058,0,0,0.013561
"BasinCreek051820_
238",BC,1209384,2301571,791.3,42.8,5/18/20,-4.097,0.001,0.038,0,0.000234,0.008901
"BasinCreek051820_
239",BC,1209273,2301545,790.2,42.8,5/18/20,-1.497,0.001,-0.055,0,0.000234,0
"BasinCreek051820_
240",BC,1209149,2301461,787.8,42.8,5/18/20,-1.363,0.003,-0.007,0,0.0007,0
"BasinCreek051820_
241",BC,1209133,2301382,787.8,42.8,5/18/20,-1.33,0,-0.742,0,0,0
"BasinCreek051820_
242",BC,1209078,2301331,788.9,42.9,5/18/20,20.811,0.002,2.164,4.85859,0.000467,0.505213
"BasinCreek051820_
243",BC,1209075,2301311,789.8,43,5/18/20,973.025,0.019,18.837,227.3522,0.004439,4.401359
"BasinCreek051820_
244",BC,1209112,2301316,790.1,43.2,5/18/20,-2.216,0,0.577,0,0,0.134785
"BasinCreek051820_
245",BC,1209177,2301317,790.2,43.5,5/18/20,-1.677,-0.002,0.3,0,0,0.070021
"BasinCreek051820_
246",BC,1209028,2301231,790.2,43.9,5/18/20,11.778,0.003,0.929,2.745566,0.000699,0.216559
"BasinCreek051820_
247",BC,1209011,2301196,789.4,44.1,5/18/20,-2.597,0,0.963,0,0,0.224116
"BasinCreek051820_
248",BC,1208986,2301156,789.1,44.2,5/18/20,473.545,0.004,14.207,110.1301,0.00093,3.304053
"BasinCreek051820_
249",BC,1208934,2301068,789,44.2,5/18/20,-1.177,0.002,1.688,0,0.000465,0.39252
"BasinCreek051820_
250",BC,1208873,2300958,789,44.4,5/18/20,21.173,0.006,4.931,4.920377,0.001394,1.145911
"BasinCreek051820_
251",BC,1208934,2300915,787.6,44.6,5/18/20,-0.641,0.002,2.853,0,0.000464,0.661413
"BasinCreek051820_
252",BC,1208986,2300964,788,44.7,5/18/20,-3.014,0.001,0.492,0,0.000232,0.114083
"BasinCreek051820_
253",BC,1209032,2301041,789.3,44.9,5/18/20,-3.769,0.005,0.636,0,0.001161,0.147623
"BasinCreek051820_
254",BC,1209071,2301062,790.8,45.1,5/18/20,-1.929,0.01,0.839,0,0.002324,0.19499
"BasinCreek051820_
255",BC,1209110,2301148,791.2,45.3,5/18/20,-3.662,0.003,0.604,0,0.000697,0.140357
"BasinCreek051920_
01",BC,1209109,2302480,789.8,29.3,5/19/20,-0.993,-0.002,0.317,0,0,0.077424
"BasinCreek051920_
02",BC,1208986,2302506,789.9,30.7,5/19/20,-1.097,0.001,0.654,0,0.000243,0.159016
"BasinCreek051920_
03",BC,1208883,2302348,787.9,31.8,5/19/20,-1.599,0,0.247,0,0,0.059688
"BasinCreek051920_
04",BC,1208885,2302150,786.8,32.5,5/19/20,-0.449,0.004,0.859,0,0.000963,0.206816
"BasinCreek051920_
05",BC,1208719,2301934,786.5,33.7,5/19/20,-2.48,-0.005,0.352,0,0,0.084385
"BasinCreek051920_
06",BC,1208785,2301767,784.4,34.3,5/19/20,-3.741,-0.004,0.306,0,0,0.073019
"BasinCreek051920_
07",BC,1208946,2301964,784.8,34.9,5/19/20,-3.225,0,0.534,0,0,0.127242
"BasinCreek051920_
08",BC,1209019,2301811,786.5,35.4,5/19/20,-3.109,0.004,0.514,0,0.000954,0.122543
"BasinCreek051920_
09",BC,1209093,2301903,784.3,35.7,5/19/20,-2.534,0,0.201,0,0,0.04774
"BasinCreek051920_
10",BC,1209154,2301753,784.7,36.2,5/19/20,-3.548,-0.003,0.909,0,0,0.215659
"BasinCreek051920_
11",BC,1208931,2301573,783.2,36.8,5/19/20,-1.687,-0.001,0.177,0,0,0.041832
"BasinCreek051920_
12",BC,1208822,2301515,782.4,37.3,5/19/20,-2.069,-0.001,-0.06,0,0,0
"BasinCreek051920_
13",BC,1208777,2301383,782.2,37.7,5/19/20,-3.012,-0.004,0.464,0,0,0.109203
"BasinCreek051920_
14",BC,1208830,2301305,782.1,38.1,5/19/20,-2.24,0.003,0.355,0,0.000705,0.083432
"BasinCreek051920_
15",BC,1208703,2301204,782.6,38.3,5/19/20,-1.19,-0.004,0.23,0,0,0.054054
"BasinCreek051920_
16",BC,1208634,2301187,780.9,38.3,5/19/20,-3.575,-0.006,0.384,0,0,0.090051
"BasinCreek051920_
17",BC,1208527,2301144,780.6,38.3,5/19/20,-1.291,-0.005,0.302,0,0,0.070794
"BasinCreek051920_
18",BC,1208479,2300982,785.9,38.2,5/19/20,-0.158,-0.001,0.2,0,0,0.047217
"BasinCreek051920_
19",BC,1208573,2300805,779.1,37.8,5/19/20,-1.434,-0.001,0.367,0,0,0.086004
"BasinCreek051920_
20",BC,1208650,2300750,780.5,37.7,5/19/20,-0.143,0.001,12.305,0,0.000235,2.889714
"BasinCreek051920_
21",BC,1208661,2300973,781.4,37.7,5/19/20,97.452,0.001,27.482,22.91208,0.000235,6.461331
"BasinCreek051920_
22",BC,1208791,2300719,782.2,38.3,5/19/20,-3.904,-0.002,0.706,0,0,0.165838
"BasinCreek051920_
23",BC,1208758,2300636,781.3,38.8,5/19/20,-2.784,-0.001,0.662,0,0,0.155075
"BasinCreek051920_
24",BC,1208769,2300369,780,39.4,5/19/20,-4.038,-0.004,0.478,0,0,0.111572
"BasinCreek051920_
25",BC,1208759,2300130,777.3,39.9,5/19/20,-2.765,0.002,0.855,0,0.000464,0.19856
"BasinCreek051920_
26",BC,1208680,2299993,778.3,40.2,5/19/20,-5.661,0.006,2.035,0,0.001394,0.472751
"BasinCreek051920_
27",BC,1208959,2300175,778.2,40.6,5/19/20,-1.878,-0.006,0.166,0,0,0.038509
"BasinCreek051920_
28",BC,1209001,2300164,781.7,40.7,5/19/20,-2.449,-0.003,0.774,0,0,0.180306
"BasinCreek051920_
29",BC,1209026,2300274,782.6,40.6,5/19/20,-2.961,-0.005,0.721,0,0,0.168206
"BasinCreek051920_
30",BC,1209017,2300359,781.7,40.5,5/19/20,289.925,0.006,7.02,67.58209,0.001399,1.636376
"BasinCreek051920_
31",BC,1209036,2300354,781.3,40.5,5/19/20,-3.481,-0.003,3.188,0,0,0.742749
"BasinCreek051920_
32",BC,1209035,2300420,781.2,40.6,5/19/20,-1.684,-0.003,0.665,0,0,0.154864
"BasinCreek051920_
33",BC,1209093,2300403,781.4,40.8,5/19/20,-2.466,-0.002,0.444,0,0,0.103359
"BasinCreek051920_
34",BC,1209094,2300466,782.8,41,5/19/20,-5.531,-0.003,0.377,0,0,0.087863
"BasinCreek051920_
35",BC,1209081,2300461,782.5,41.2,5/19/20,-3.45,0.002,0.539,0,0.000466,0.12549
"BasinCreek051920_
36",BC,1209100,2300548,782.5,41.4,5/19/20,-6.634,0,0.39,0,0,0.090742
"BasinCreek051920_
37",BC,1209115,2300607,782.9,41.6,5/19/20,-5.56,0.002,0.329,0,0.000465,0.07654
"BasinCreek051920_
38",BC,1209151,2300735,782.4,41.8,5/19/20,-1.488,0.002,0.355,0,0.000465,0.082483
"BasinCreek051920_
39",BC,1209110,2300719,783.2,41.9,5/19/20,21.992,0.015,6.479,5.113391,0.003488,1.506442
"BasinCreek051920_
40",BC,1208954,2300607,782.5,42,5/19/20,-7.678,0.001,0.822,0,0.000232,0.190893
"BasinCreek051920_
41",BC,1209017,2300813,780.4,42,5/19/20,-2.516,0.001,2.073,0,0.000232,0.480121
"BasinCreek051920_
42",BC,1209137,2300882,783.7,42.1,5/19/20,-2.396,0,-0.049,0,0,0
"BasinCreek052120_
100",BC,1210933,2304622,792.4,41,5/21/20,-2.628,-0.007,0.034,0,0,0.008021
"BasinCreek052120_
101",BC,1210945,2304795,789,41.4,5/21/20,-3.758,0.006,0.582,0,0.001408,0.13654
"BasinCreek052120_
102",BC,1210969,2304997,788.2,41.7,5/21/20,-5.477,0.011,1.001,0,0.002576,0.234379
"BasinCreek052120_
103",BC,1210833,2305048,788.8,42,5/21/20,-4.598,0.011,0.843,0,0.002575,0.197346
"BasinCreek052120_
104",BC,1210553,2304985,788.8,42.2,5/21/20,-1.184,-0.003,0.04,0,0,0.009358
"BasinCreek052120_
105",BC,1210573,2304857,790.5,42.4,5/21/20,-6.48,0.017,0.48,0,0.003983,0.112467
"BasinCreek052120_
106",BC,1210675,2304808,791.7,42.5,5/21/20,-1.618,0.017,0.947,0,0.003988,0.222155
"BasinCreek052120_
107",BC,1210758,2304604,790.9,42.5,5/21/20,-5.734,0.008,0.052,0,0.001875,0.012186
"BasinCreek052120_
108",BC,1210740,2304506,790.6,42.4,5/21/20,-0.765,0.017,1.848,0,0.003984,0.433054
"BasinCreek052120_
109",BC,1210619,2304600,792.1,42.3,5/21/20,-5.242,0.007,0.836,0,0.001644,0.196339
"BasinCreek052120_
110",BC,1210532,2304447,792.8,42.2,5/21/20,-1.413,0.006,2.18,0,0.001411,0.5126
"BasinCreek052120_
43",BC,1210326,2304153,794.5,25.4,5/21/20,-2.683,0.003,2.21,0,0.000747,0.550073
"BasinCreek052120_
44",BC,1210375,2304037,794,26.6,5/21/20,-0.499,0,-0.101,0,0,0
"BasinCreek052120_
45",BC,1210498,2304181,794,27.9,5/21/20,-0.323,0.004,0.223,0,0.000987,0.05501
"BasinCreek052120_
46",BC,1210504,2303977,794.2,28.9,5/21/20,-1.16,-0.001,0.269,0,0,0.066154
"BasinCreek052120_
47",BC,1210542,2303870,792.9,29.6,5/21/20,-1.461,0,0.305,0,0,0.074711
"BasinCreek052120_
48",BC,1210681,2303841,791.5,30.3,5/21/20,-2.309,-0.003,1.701,0,0,0.414972
"BasinCreek052120_
49",BC,1210743,2303947,790.1,30.9,5/21/20,-1.131,-0.001,0.878,0,0,0.213394
"BasinCreek052120_
50",BC,1210871,2303617,790.1,32.2,5/21/20,-0.736,0.009,0.335,0,0.002178,0.081074
"BasinCreek052120_
51",BC,1211000,2303450,789.3,33.2,5/21/20,-1.38,0.002,0.199,0,0.000482,0.047954
"BasinCreek052120_
52",BC,1211024,2303572,787.1,34,5/21/20,-0.514,0.015,1.117,0,0.003595,0.267722
"BasinCreek052120_
53",BC,1210993,2303669,787,34.6,5/21/20,-0.93,0.001,0.384,0,0.000239,0.091846
"BasinCreek052120_
54",BC,1211157,2303685,786.8,35.3,5/21/20,-0.454,0.015,0.102,0,0.003579,0.024335
"BasinCreek052120_
55",BC,1211216,2303568,787.1,35.6,5/21/20,-2.762,0.01,2.515,0,0.002384,0.59967
"BasinCreek052120_
56",BC,1211192,2303473,785.8,35.9,5/21/20,-3.5,0.006,4.87,0,0.001427,1.158146
"BasinCreek052120_
57",BC,1211328,2303388,784.7,36.2,5/21/20,-0.878,0,0.173,0,0,0.041044
"BasinCreek052120_
58",BC,1211391,2303438,783.5,36.6,5/21/20,-2.046,0.004,0.351,0,0.000946,0.08304
"BasinCreek052120_
59",BC,1211553,2303328,784.1,37,5/21/20,-2.463,-0.002,0.276,0,0,0.065262
"BasinCreek052120_
60",BC,1211602,2303489,788.4,37.6,5/21/20,-0.554,0.012,0.943,0,0.002848,0.223768
"BasinCreek052120_
61",BC,1211613,2303703,784.4,38.2,5/21/20,-1.952,0.008,0.554,0,0.001885,0.130542
"BasinCreek052120_
62",BC,1211464,2303791,789,38.8,5/21/20,-4.869,-0.001,0.144,0,0,0.034065
"BasinCreek052120_
63",BC,1211385,2303818,789.5,39,5/21/20,-1.662,0.001,0.338,0,0.000237,0.079957
"BasinCreek052120_
64",BC,1211212,2303982,791.7,39.5,5/21/20,-1.856,-0.004,0.919,0,0,0.217655
"BasinCreek052120_
65",BC,1211233,2304116,792.5,39.8,5/21/20,-2.202,0.008,0.532,0,0.001895,0.126005
"BasinCreek052120_
66",BC,1211360,2304199,792.2,40.1,5/21/20,-2.333,-0.014,0.299,0,0,0.070724
"BasinCreek052120_
67",BC,1211479,2304187,791,40.5,5/21/20,-1.961,0.005,0.099,0,0.001179,0.023352
"BasinCreek052120_
68",BC,1211662,2304224,788.7,40.7,5/21/20,-2.992,0,-0.038,0,0,0
"BasinCreek052120_
69",BC,1211692,2304352,786.8,40.8,5/21/20,-3.959,0.004,0.221,0,0.000938,0.051802
"BasinCreek052120_
70",BC,1211723,2304413,793.2,41,5/21/20,-0.002,0.006,0.167,0,0.001417,0.039438
"BasinCreek052120_
71",BC,1211744,2304563,787,41.1,5/21/20,-2.394,-0.001,0.357,0,0,0.083622
"BasinCreek052120_
72",BC,1211945,2304618,791.1,41,5/21/20,-2.02,0.019,1.008,0,0.004475,0.237414
"BasinCreek052120_
73",BC,1212112,2304588,781.7,40.8,5/21/20,-3.08,-0.005,1.014,0,0,0.23614
"BasinCreek052120_
74",BC,1212070,2304419,780.5,40.7,5/21/20,-7.027,0.018,4.613,0,0.004187,1.072964
"BasinCreek052120_
75",BC,1212023,2304317,781.8,40.8,5/21/20,-1.986,-0.005,0.769,0,0,0.179107
"BasinCreek052120_
76",BC,1212169,2304340,782.8,40.9,5/21/20,-0.188,0.004,1.721,0,0.000933,0.401221
"BasinCreek052120_
77",BC,1212217,2304259,781.4,40.9,5/21/20,-1.373,0,0.359,0,0,0.083545
"BasinCreek052120_
78",BC,1212308,2304177,787.9,40.9,5/21/20,-1.131,0.005,0.271,0,0.001173,0.063591
"BasinCreek052120_
79",BC,1212423,2304426,780.8,40.8,5/21/20,-2.585,0.001,12.363,0,0.000233,2.875771
"BasinCreek052120_
80",BC,1212402,2304458,779.1,40.8,5/21/20,-2.88,0.004,4.242,0,0.000928,0.984588
"BasinCreek052120_
81",BC,1212327,2304543,779,40.8,5/21/20,-2.336,-0.004,1.854,0,0,0.430267
"BasinCreek052120_
82",BC,1212245,2304759,778.6,40.7,5/21/20,-1.339,0.008,1.288,0,0.001856,0.298854
"BasinCreek052120_
83",BC,1211793,2305041,780,40.7,5/21/20,-2.012,-0.002,0.345,0,0,0.080194
"BasinCreek052120_
84",BC,1211786,2305114,783,40.7,5/21/20,-0.965,0.002,0.865,0,0.000467,0.20184
"BasinCreek052120_
85",BC,1211639,2304999,783.3,40.7,5/21/20,-2.909,-0.004,0.689,0,0,0.160833
"BasinCreek052120_
86",BC,1211550,2304737,783.5,40.7,5/21/20,-3.362,-0.002,0.425,0,0,0.099233
"BasinCreek052120_
87",BC,1211629,2304697,783.3,40.7,5/21/20,-1.775,0.005,-0.009,0,0.001167,0
"BasinCreek052120_
88",BC,1211451,2304782,783.5,40.6,5/21/20,-1.481,0.005,2.306,0,0.001168,0.538599
"BasinCreek052120_
89",BC,1211398,2305026,784.1,40.4,5/21/20,-2.61,0.023,0.108,0,0.00538,0.02526
"BasinCreek052120_
90",BC,1211297,2304989,784.9,40.5,5/21/20,-1.488,0.005,0.354,0,0.00117,0.082856
"BasinCreek052120_
91",BC,1211238,2304861,785.5,40.5,5/21/20,-2.544,0.003,0.625,0,0.000703,0.146397
"BasinCreek052120_
92",BC,1211184,2304765,785.8,40.6,5/21/20,-5.399,0.009,0.558,0,0.002108,0.130711
"BasinCreek052120_
93",BC,1211330,2304646,784.8,40.8,5/21/20,-2.044,0.022,-0.063,0,0.005144,0
"BasinCreek052120_
94",BC,1211375,2304525,785.9,40.8,5/21/20,-3.726,0.007,0.386,0,0.001639,0.090374
"BasinCreek052120_
95",BC,1211218,2304363,788,40.9,5/21/20,-5.284,0.005,0.245,0,0.001173,0.057497
"BasinCreek052120_
96",BC,1210978,2304149,791.4,41,5/21/20,-3.791,0.006,6.03,0,0.001414,1.420782
"BasinCreek052120_
97",BC,1210928,2304075,790.6,41,5/21/20,-5.419,-0.008,0.38,0,0,0.089445
"BasinCreek052120_
98",BC,1210745,2304134,789.9,40.9,5/21/20,-1.942,0.007,-0.241,0,0.001647,0
"BasinCreek052120_
99",BC,1210946,2304352,790.3,40.7,5/21/20,-3.083,0.011,2.865,0,0.002591,0.674754
"BasinCreek052220_
111",BC,1212330,2305921,786.7,35.7,5/22/20,-1.366,-0.009,0.042,0,0,0.010006
"BasinCreek052220_
112",BC,1212452,2306046,786.5,36.6,5/22/20,-0.004,-0.029,0.392,0,0,0.093095
"BasinCreek052220_
113",BC,1212806,2306025,788.6,38,5/22/20,-0.192,-0.001,2.3,0,0,0.545213
"BasinCreek052220_
114",BC,1212926,2306044,785.5,38.4,5/22/20,-0.099,-0.001,1.09,0,0,0.257037
"BasinCreek052220_
115",BC,1213003,2306138,785.3,38.8,5/22/20,-0.222,-0.001,0.017,0,0,0.004003
"BasinCreek052220_
116",BC,1213329,2305980,785.9,39.3,5/22/20,-0.128,-0.006,0.68,0,0,0.159973
"BasinCreek052220_
117",BC,1213311,2306119,783.3,39.6,5/22/20,-0.153,-0.002,0.509,0,0,0.119234
"BasinCreek052220_
118",BC,1213222,2306182,784.1,39.8,5/22/20,-0.131,-0.006,0.346,0,0,0.081082
"BasinCreek052220_
119",BC,1213167,2306320,784.7,40,5/22/20,-0.478,-0.001,0.005,0,0,0.001172
"BasinCreek052220_
120",BC,1213307,2306518,784.9,40.1,5/22/20,-0.238,-0.031,0.178,0,0,0.041715
"BasinCreek052220_
121",BC,1213370,2306405,786.3,40.2,5/22/20,-0.361,-0.002,0.326,0,0,0.076512
"BasinCreek052220_
122",BC,1213582,2306421,786,40.4,5/22/20,-0.458,-0.002,0.665,0,0,0.155915
"BasinCreek052220_
123",BC,1213613,2306538,783.3,40.4,5/22/20,-0.286,-0.001,0.274,0,0,0.064021
"BasinCreek052220_
124",BC,1213687,2306623,783.2,40.4,5/22/20,-0.394,-0.021,0.267,0,0,0.062378
"BasinCreek052220_
125",BC,1213969,2306591,782.8,40.4,5/22/20,0,0,1.054,0,0,0.246114
"BasinCreek052220_
126",BC,1213958,2306707,780.8,40.5,5/22/20,0,-0.002,1.03,0,0,0.239819
"BasinCreek052220_
127",BC,1214093,2306789,781.3,40.7,5/22/20,0,-0.019,0.242,0,0,0.056346
"BasinCreek052220_
128",BC,1214229,2306899,780,41,5/22/20,0,-0.007,-0.417,0,0,0
"BasinCreek052220_
129",BC,1214418,2306939,778.6,41.2,5/22/20,0,-0.001,0.72,0,0,0.166796
"BasinCreek052220_
130",BC,1214350,2307030,777.5,41.4,5/22/20,0,-0.002,0.631,0,0,0.145878
"BasinCreek052220_
131",BC,1214371,2307108,784.7,41.5,5/22/20,0,-0.005,2.096,0,0,0.488898
"BasinCreek052220_
132",BC,1214292,2307327,777.9,41.7,5/22/20,-0.976,-0.049,0.264,0,0,0.061006
"BasinCreek052220_
133",BC,1214435,2307376,777,41.9,5/22/20,-0.078,-0.03,0.609,0,0,0.140479
"BasinCreek052220_
134",BC,1214619,2307390,776.9,42.1,5/22/20,-0.009,-0.012,0.382,0,0,0.088049
"BasinCreek052220_
135",BC,1214704,2307404,776.3,42.3,5/22/20,-0.49,-0.001,0.684,0,0,0.157437
"BasinCreek052220_
136",BC,1214865,2307324,776.3,42.5,5/22/20,1.83,0.016,12.652,0.420946,0.00368,2.910275
"BasinCreek052220_
137",BC,1214931,2307245,775.1,42.4,5/22/20,22.197,0.006,2.373,5.099586,0.001378,0.545178
"BasinCreek052220_
138",BC,1214811,2307198,775.1,42.3,5/22/20,-0.839,-0.006,1.71,0,0,0.392984
"BasinCreek052220_
139",BC,1214953,2307164,774.2,42.1,5/22/20,-0.082,-0.006,0.523,0,0,0.12013
"BasinCreek052220_
140",BC,1214954,2306988,774.3,42,5/22/20,-0.197,-0.036,0.119,0,0,0.027346
"BasinCreek052220_
141",BC,1215119,2306999,773.8,41.9,5/22/20,-0.18,-0.022,1.839,0,0,0.422457
"BasinCreek052220_
142",BC,1215133,2307036,772.7,42,5/22/20,-0.473,-0.024,0.03,0,0,0.00688
"BasinCreek052220_
143",BC,1215226,2306854,772.8,42.1,5/22/20,-0.28,-0.037,1.503,0,0,0.344605
"BasinCreek052220_
144",BC,1215306,2306753,773.5,42.3,5/22/20,11.35,0.012,4.709,2.603015,0.002752,1.079965
"BasinCreek052220_
145",BC,1215260,2306741,773.2,42.5,5/22/20,-1.449,-0.021,1.411,0,0,0.323269
"BasinCreek052220_
146",BC,1215268,2306659,773.4,42.7,5/22/20,0,-0.01,0.874,0,0,0.200164
"BasinCreek052620_
147",BC,1213632,2306136,789.6,28.3,5/26/20,-2.498,0,0.436,0,0,0.106814
"BasinCreek052620_
148",BC,1213701,2306182,789.8,28.8,5/26/20,-0.386,-0.005,0.204,0,0,0.049907
"BasinCreek052620_
149",BC,1213832,2306395,789.4,29.8,5/26/20,-0.528,-0.001,1.343,0,0,0.327305
"BasinCreek052620_
150",BC,1213977,2306436,788.2,30.4,5/26/20,0,-0.003,0.108,0,0,0.026229
"BasinCreek052620_
151",BC,1214104,2306420,787.9,30.6,5/26/20,-0.764,-0.003,0.339,0,0,0.082244
"BasinCreek052620_
152",BC,1214253,2306586,787.4,30.7,5/26/20,-0.518,-0.001,2.666,0,0,0.646171
"BasinCreek052620_
153",BC,1214426,2306773,785.2,30.7,5/26/20,-0.847,-0.005,0.035,0,0,0.008459
"BasinCreek052620_
154",BC,1214501,2306737,782.6,30.7,5/26/20,-0.761,-0.002,0.187,0,0,0.045048
"BasinCreek052620_
155",BC,1214544,2306827,782.4,30.7,5/26/20,-0.183,-0.002,1.111,0,0,0.267568
"BasinCreek052620_
156",BC,1214621,2306867,780.8,30.8,5/26/20,-0.566,-0.001,1.358,0,0,0.326279
"BasinCreek052620_
157",BC,1214644,2307052,780.4,30.9,5/26/20,-0.536,-0.001,2.472,0,0,0.593433
"BasinCreek052620_
158",BC,1214727,2306907,779.8,31.2,5/26/20,0,-0.001,0.842,0,0,0.201778
"BasinCreek052620_
159",BC,1214770,2306805,780.2,31.5,5/26/20,0,-0.002,4.275,0,0,1.023981
"BasinCreek052620_
160",BC,1214935,2306744,781.3,31.9,5/26/20,0,-0.002,0.557,0,0,0.13343
"BasinCreek052620_
161",BC,1214977,2306604,780,32.2,5/26/20,0,-0.002,1.15,0,0,0.274755
"BasinCreek052620_
162",BC,1214859,2306569,779.8,32.7,5/26/20,-0.456,-0.003,0.262,0,0,0.062478
"BasinCreek052620_
163",BC,1214571,2306519,781.3,33.4,5/26/20,-0.391,-0.005,0.129,0,0,0.030751
"BasinCreek052620_
164",BC,1214474,2306533,784,33.8,5/26/20,-0.684,-0.01,0.646,0,0,0.154324
"BasinCreek052620_
165",BC,1214539,2306367,784.7,34.2,5/26/20,-0.276,-0.001,0.314,0,0,0.074981
"BasinCreek052620_
166",BC,1214438,2306362,784.5,34.5,5/26/20,-0.26,-0.002,0.089,0,0,0.021226
"BasinCreek052620_
167",BC,1213541,2305857,784.8,35.5,5/26/20,-0.153,-0.014,0.945,0,0,0.224738
"BasinCreek052620_
168",BC,1213605,2305721,787.1,35.7,5/26/20,-0.05,-0.003,0.135,0,0,0.032179
"BasinCreek052620_
169",BC,1213493,2305710,786.4,36.3,5/26/20,-0.324,-0.007,0.292,0,0,0.069404
"BasinCreek052620_
170",BC,1213454,2305719,785.3,36.5,5/26/20,-0.077,-0.012,0.805,0,0,0.190946
"BasinCreek052620_
171",BC,1213358,2305745,785.2,36.7,5/26/20,-0.416,-0.003,0.973,0,0,0.230618
"BasinCreek052620_
172",BC,1213285,2305803,785.6,37,5/26/20,-0.427,-0.008,0.646,0,0,0.153043
"BasinCreek052620_
173",BC,1213191,2305857,786.3,37.3,5/26/20,-0.177,-0.007,6.371,0,0,1.50923
"BasinCreek052620_
174",BC,1213164,2305757,786,37.6,5/26/20,-0.537,-0.007,2.53,0,0,0.598526
"BasinCreek052620_
175",BC,1213195,2305604,785.1,38,5/26/20,-0.408,-0.002,9.215,0,0,2.174711
